record_ID,well_ID,pump_fixed,pump_working,activity_date,village_name,prefecture,Latitude,Longitude,pump_type,sous_prefecture,payment,service_visit_type
16743,A105,non,non,05/27/2016,SCED MC,sanghambaere,3.402221,16.24709,hpv_60,nola,0,
5183,A180,oui,non,04/21/2014,GARGA ZALLO,nanamambere,6.335797,14.99927,hpv_60,bouar,0,
22728,A1821,non,non,09/08/2017,NAMBOUI 1,sanghambaere,3.527182,16.05952,hpv_60,nola,0,
26523,A1821,non,non,03/03/2018,NAMBOUI 1,,3.527172,16.05951,hpv_60,,,monitor
11575,A244,oui,non,06/01/2015,PATE GBONAMBOLO,nanamambere,5.596275,15.90728,hpv_60,baoro,0,
30153,A120,decommissioned,decommissioned,07/12/2018,ALIME,nanamambere,6.018848,14.64643,hpv_60,baboua,,monitor
11275,A135,non,non,05/31/2015,BAYANGA DIDI 1,nanamambere,5.300818,15.79477,hpv_60,baoro,0,
31197,A1565,decommissioned,decommissioned,08/09/2018,NOLA QTIER DENGBA,sanghambaere,3.510134,16.05977,hpv_60_2000,nola,,monitor
33288,A1896,problem,problem,10/28/2018,Ndele sultan 4,baminguibangoran,8.415129,20.64562,hpv_60_2000,ndele,,bekou
16755,A2027,oui,non,05/30/2016,Mangoro,sanghambaere,3.501307,16.21409,hpv_60,nola,10000,
29763,A208,non,non,06/30/2018,MAIGARO Disp1 VALLO,nanamambere,6.008184,15.55939,hpv_60,bouar,,monitor
11287,A237,non,non,06/01/2015,Nguerenguere,nanamambere,5.630282,15.89689,hpv_60,baoro,0,
33246,A2653,problem,problem,10/25/2018,KOTISSAKO 2,baminguibangoran,8.145133,20.39004,hpv_60_2000,bamingui,,bekou
11536,A272,non,non,06/01/2015,ZAWA,nanamambere,5.534589,15.94168,hpv_60,baoro,0,
31203,A29,non,non,08/10/2018,BANDOKA,sanghambaere,3.48763,16.01522,hpv_60_2000,nola,,monitor
33240,A3174,problem,problem,10/25/2018,KoTISSAKO 1,baminguibangoran,8.146324,20.39127,hpv_60_2000,bamingui,,bekou
33231,A3267,problem,problem,10/24/2018,Alidu Lemena,baminguibangoran,8.400078,20.69694,hpv_60_2000,ndele,,bekou
31398,A37,decommissioned,decommissioned,08/16/2018,BELAMBOKE 4,sanghambaere,3.403893,16.23282,hpv_60_2000,nola,,monitor
33264,A460,problem,problem,10/25/2018,BAMINGUI QUARTIER MBORNOU,baminguibangoran,7.561665,20.17562,hpv_60_2000,bamingui,,bekou
33303,A463,problem,problem,10/29/2018,BATELE 1 HAOUSSA,baminguibangoran,8.520703,20.62629,hpv_60_2000,ndele,,bekou
33234,A464,problem,problem,10/24/2018,Batele 2,baminguibangoran,8.402801,20.67725,hpv_60_2000,ndele,,bekou
33270,A466,problem,problem,10/26/2018,VILLAGE BISSINGOU,baminguibangoran,8.255567,20.57096,hpv_60_2000,bamingui,,bekou
33249,A475,problem,problem,10/25/2018,Digba Village,baminguibangoran,8.123655,20.36939,hpv_60_2000,bamingui,,bekou
33222,A475,problem,problem,10/24/2018,Ngouga,baminguibangoran,8.176934,20.71213,hpv_60_2000,bamingui,,bekou
