record_ID,well_ID,service_visit_type,village_name,prefecture,pump_working,pump_fixed,activity_date,Latitude,Longitude,pump_type,payment,team_number,sous_prefecture,wells::mission_id,,,,
35378,F1998,rapid_response,Eglise Cooperation de Longote Berberati,mamberekadei,oui,oui,01/03/2019,4.263315,15.8008,hpv_60_2000,0,bti_rapid_response,berberati,Moto_Berberati_Groupe_1,,,,
35354,A50,eep,BANIA DISP EEB,mamberekadei,oui,oui,01/03/2019,4.000021,16.10897,hpv_60,20000,bti_rapid_response,berberati,Moto_Berberati_Groupe_5,,,,
35360,F1977,rapid_response,ÉNERCA,,non,oui,01/04/2019,4.250058,15.78331,hpv_60_2000,0,bti_rapid_response,,Moto_Berberati_Groupe_1,,,,
35357,F2136,eep,YABEDOKO,mamberekadei,oui,oui,01/04/2019,4.60316,15.78667,hpv_100,0,bti_rapid_response,berberati,Moto_Berberati_Groupe_4,,,,
35363,F2115,eep,Dong bolo /fada 2,mamberekadei,oui,oui,01/07/2019,4.248755,15.59401,hpv_60_2000,0,bti_rapid_response,berberati,Moto_Berberati_Groupe_2,,,,
35432,R745,monitor,Mont carmel sud,ombelampoko,problem,problem,01/10/2019,4.341408,18.50477,hpv_60,,eep_4,bimbo,Moto_Bangui_Groupe_3,,,,
35429,A790,eep,TOUNGOUFARA,ombelampoko,oui,oui,01/10/2019,4.461128,18.51302,hpv_60,0,eep_4,bimbo,Moto_Bangui_Groupe_5,,,,
35426,A1527,eep,DAZITHO,ombelampoko,problem,oui,01/10/2019,4.518288,18.47219,hpv_60,0,eep_4,bimbo,Moto_Bangui_Groupe_5,,,,
35366,A1737,eep,Likaya Village EEB,mamberekadei,oui,oui,01/10/2019,4.059523,16.15182,hpv_60,0,bti_rapid_response,Berberati,Moto_Berberati_Groupe_5,,,,
35375,F2121,eep,CITE CATHOLIQUE 1,mamberekadei,oui,oui,01/11/2019,4.660454,15.79928,hpv_60_2000,0,bti_rapid_response,berberati,Moto_Berberati_Groupe_4,,,,
35435,A2289,eep,BANGUI PK 10,ombelampoko,non,oui,01/14/2019,4.445664,18.52952,hpv_60,0,eep_4,bimbo,Moto_Bangui_Groupe_5,,,,
35369,F2112,eep,Barka basso,mamberekadei,oui,oui,01/14/2019,4.230577,15.65186,hpv_60_2000,0,bti_rapid_response,berberati,Moto_Berberati_Groupe_2,,,,
35372,A10,rapid_response,BERBERATI HOPITAL 2,mamberekadei,oui,oui,01/15/2019,4.262184,15.78956,hpv_60,25000,bti_rapid_response,Berberati,Moto_Berberati_Groupe_1,,,,
35438,A1813,eep,BIMBO ST KISITO LYCEE COLLEGE LYCEE SAINT KIZITO,ombelampoko,problem,oui,01/16/2019,4.458387,18.51036,hpv_60,0,eep_4,Bimbo,Moto_Bangui_Groupe_5,,,,
35384,A2997,eep,SOSSO Nakombo,mamberekadei,problem,oui,01/16/2019,3.919982,15.50484,hpv_60,16000,bti_rapid_response,dedemokouba,Moto_Berberati_Groupe_3,,,,
35381,A1930,rapid_response,SOSSO NAKOMBO SIRET,mamberekadei,problem,oui,01/16/2019,3.907706,15.50145,hpv_60,0,bti_rapid_response,dedemokouba,Moto_Berberati_Groupe_3,,,,
35387,F1802,eep,Barka Pandi,mamberekadei,oui,oui,01/17/2019,4.188941,15.93884,hpv_60,0,bti_rapid_response,berberati,Moto_Berberati_Groupe_5,,,,
35390,A129,eep,BANZOUM,mamberekadei,oui,oui,01/18/2019,4.327668,15.81361,hpv_60_2000,0,bti_rapid_response,berberati,Moto_Berberati_Groupe_4,,,,
35444,Z122,eep,DOMOKIA,,problem,oui,01/21/2019,4.967841,18.69613,hpv_60,20000,eep_4,,OM_Groupe_2,,,,
35441,Z202,eep,Delebama 3,ombelampoko,non,oui,01/21/2019,4.554175,18.51541,india_mark_2,0,eep_4,bimbo,Moto_Bangui_Groupe_6,,,,
35414,A587,eep,Bozoubolo2,ombelampoko,problem,oui,01/21/2019,4.965304,17.93061,hpv_60,0,eep_2,boali,OM_Groupe_4,,,,
35393,F2118,eep,Mbobet Ndokon,mamberekadei,oui,oui,01/21/2019,4.245771,15.48898,hpv_60_2000,0,bti_rapid_response,berberati,Moto_Berberati_Groupe_2,,,,
35471,A3516,eep,Sibut Hopital,kemo,problem,oui,01/22/2019,5.734535,19.0833,hpv_60,0,eep_4,sibut,Kemo_Groupe_2,,,,
35465,A3417,eep,Trogama,kemo,problem,oui,01/22/2019,5.807573,19.11933,hpv_60,20000,eep_4,sibut,Kemo_Groupe_3,,,,
35456,A3416,eep,Boubou,kemo,oui,oui,01/22/2019,5.785532,19.10196,hpv_60,0,eep_4,sibut,Kemo_Groupe_3,,,,
35450,A3415,eep,Bobatoua,kemo,oui,oui,01/22/2019,5.779808,19.0978,hpv_60,0,eep_4,sibut,Kemo_Groupe_3,,,,
35453,A937,eep,GBANGAYANGA CENTRE,ouham,problem,problem,01/22/2019,6.814923,17.23162,india_mark_2,0,eep_2,bossangoa,Ouham_Groupe_5,,,,
35447,X37,monitor,Tondori,ouham,problem,problem,01/22/2019,6.84426,17.27261,india_mark_2,,eep_2,bossangoa,Ouham_Groupe_5,,,,
35420,X36,eep,Bofiota,ouham,non,oui,01/22/2019,6.848502,17.27795,india_mark_2,1,eep_2,bossangoa,Ouham_Groupe_5,,,,
35417,A580,eep,BOZELE 2 NANA BAKASSA,ouham,oui,oui,01/22/2019,6.658159,17.42711,india_mark_2,0,eep_2,bossangoa,Ouham_Groupe_3,,,,
35498,A3421,eep,Kpakou1,kemo,oui,oui,01/23/2019,5.912997,19.14813,hpv_60,0,eep_4,sibut,Kemo_Groupe_3,,,,
35492,A3420,eep,Kene Bindi,kemo,oui,oui,01/23/2019,5.871515,19.14257,hpv_60,0,eep_4,sibut,Kemo_Groupe_3,,,,
35486,A3419,eep,M'etonne cafe,kemo,oui,oui,01/23/2019,5.819795,19.13543,hpv_60,0,eep_4,sibut,Kemo_Groupe_3,,,,
35480,A3558,eep,Boukoute 3,,oui,oui,01/23/2019,5.812491,19.13063,hpv_60,0,eep_4,,Kemo_Groupe_3,,,,
35474,A3418,eep,Tada,kemo,oui,oui,01/23/2019,5.810911,19.12797,hpv_60,0,eep_4,sibut,Kemo_Groupe_3,,,,
