record_ID,Latitude,Longitude,service_visit_type,well_ID,village_name,prefecture,sous_prefecture,wells::mission_id,team_number,activity_date,population_estimate,pop_use,pump_type,pump_working,pump_fixed,payment
43984,4.259263,15.374822,EEP traditionnel,F2319,Nassole Quartier Mboumbe,Mambere Kadei,Berberati,2,EEP Moto 1,1/7/2020,450,120,Vergnet HPV 60 2000,Oui,Oui,
43987,4.258019,15.377486,EEP traditionnel,F2384,Nassole 3 quartier Djombo,Mambere Kadei,Amada-Gaza,2,EEP Moto 1,1/7/2020,377,120,Vergnet HPV 60 2000,Oui,Oui,
43990,4.261358,15.380329,EEP traditionnel,F2450,bonguere,Mambere Kadei,Amada-Gaza,2,EEP Moto 1,1/7/2020,650,200,Vergnet HPV 60 2000,Oui,Oui,
43993,4.259277,15.382426,EEP traditionnel,A313,Nassole Centre de Sante Dispensaire,Mambere Kadei,Berberati,2,EEP Moto 1,1/7/2020,250,90,Vergnet HPV 60,Oui,Oui,
43996,4.259834,15.37832,EEP traditionnel,A329,Nassole,Mambere Kadei,Berberati,2,EEP Moto 1,1/7/2020,2500,550,Vergnet HPV 60,"Oui, mais pas correctement","Oui, mais pas correctement",
43999,4.258238,15.379243,Visite de suivi,F1796,Nassole Ecole,Mambere Kadei,Berberati,2,EEP Moto 1,1/7/2020,250,80,Vergnet Hydro India,"Oui, mais pas correctement","Oui, mais pas correctement",
44002,4.257739,15.397366,EEP traditionnel,F2459,wazet REDRILL,Mambere Kadei,Berberati,2,EEP Moto 1,1/8/2020,350,0,Vergnet HPV 60 2000,"Oui, mais pas correctement","Oui, mais pas correctement",
44005,4.26302,15.421227,EEP traditionnel,F2313,BINDI,Mambere Kadei,Berberati,2,EEP Moto 1,1/8/2020,150,80,Vergnet HPV 60 2000,Oui,Oui,
44008,4.267176,15.427434,EEP traditionnel,F2310,SOLA,Mambere Kadei,Berberati,2,EEP Moto 1,1/8/2020,90,50,Vergnet HPV 60 2000,Oui,Oui,
44011,4.275201,15.447446,EEP traditionnel,F2307,GBAMBONGA,Mambere Kadei,Berberati,2,EEP Moto 1,1/8/2020,50,50,Vergnet HPV 60 2000,Oui,Oui,
44014,4.276128,15.452159,EEP traditionnel,F2328,BOUFOLO,Mambere Kadei,Berberati,2,EEP Moto 1,1/8/2020,110,50,Vergnet HPV 60 2000,Oui,Oui,
44017,4.274925,15.453127,Visite de suivi,F1798,Boufolo Ecole,Mambere Kadei,Berberati,2,EEP Moto 1,1/8/2020,350,120,Vergnet HPV 60 2000,Oui,Oui,
44020,4.270237,15.456585,EEP traditionnel,F2304,BOSSET,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/8/2020,200,95,Vergnet HPV 60 2000,Oui,Oui,
44110,4.572032,18.521856,EEP traditionnel,A764,Bombele,Ombella M'Poko,Bimbo,OM_Mission_1,EEP 2,1/8/2020,354,34,Vergnet HPV 60,Oui,Oui,
44023,4.245805,15.489407,EEP traditionnel,F2456,Ndonkon-Mbonet A,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/8/2020,95,50,Vergnet HPV 60 2000,Oui,Oui,
44257,4.594748,18.537983,EEP traditionnel,A1789,Nguerengou 1,Ombella M'Poko,Damara,OM_Mission_1,EEP 2,1/8/2020,372,74,Vergnet HPV 60,Non,Non,
44260,4.59985,18.540545,EEP traditionnel,A785,Nguerengou 2,Ombella M'Poko,Bimbo,OM_Mission_1,EEP 2,1/8/2020,364,25,Vergnet HPV 60,"Oui, mais pas correctement","Oui, mais pas correctement",
